code,shortName,longName,mass,comment
04BP3,04BP3,Baustoffprüferin/Baustoffprüfer Schwerpunkt Mörtel- und Betontechnik,207,3j.
04BWA,04BWA,Bauwerksabdichterin/Bauwerksabdichter,207,3j.
04BWM,04BWM,Bauwerksmechanikerin/Bauwerksmechaniker für Abbruch und Betontrenntechnik,207,3j.
04BA1,04BA1,Bauzeichnerin/Bauzeichner Schwerpunkt Architektur,207,3j.
04BA2,04BA2,Bauzeichnerin/Bauzeichner Schwerpunkt Ingenieurbau,207,3j.
04BA3,04BA3,"Bauzeichnerin/Bauzeichner Schwerpunkt Tief-, Straßen- und Landschaftsbau",207,3j.
04BET,04BET,Beton- und Stahlbetonbauerin/Beton- und Stahlbetonbauer,207,3j.
04DA3,04DA3,Dachdeckerin/Dachdecker Schwerpunkt Abdichtungstechnik,207,3j.
04DA4,04DA4,Dachdeckerin/Dachdecker Schwerpunkt Außenwandbekleidungstechnik,207,3j.
04DA5,04DA5,Dachdeckerin/Dachdecker Schwerpunkt Dachdeckungstechnik,207,3j.
04DA6,04DA6,Dachdeckerin/Dachdecker Schwerpunkt Energietechnik an Dach und Wand,207,3j.
04DA1,04DA1,Dachdeckerin/Dachdecker Schwerpunkt Reetdachtechnik,207,3j.
04EST,04EST,Estrichlegerin/Estrichleger,207,3j.
04FLI,04FLI,"Fliesen-, Platten- und Mosaiklegerin/Fliesen-, Platten- und Mosaikleger",207,3j.
04GEO,04GEO,Geomatikerin/Geomatiker,207,3j.
04GL1,04GL1,Glaserin/Glaser Fachrichtung Verglasung und Glasbau,207,3j.
04GL2,04GL2,Glaserin/Glaser Fachrichtung Fenster- und Glasfassadenbau,207,3j.
04HO1,04HO1,Hochbaufacharbeiterin/Hochbaufacharbeiter Schwerpunkt Beton- und Stahlbetonbauarbeiten,207,2j.
04HO2,04HO2,Hochbaufacharbeiterin/Hochbaufacharbeiter Schwerpunkt Maurerarbeiten,207,2j.
04HO3,04HO3,Hochbaufacharbeiterin/Hochbaufacharbeiter Schwerpunkt Feuerungs- und Schornsteinbauarbeiten,207,2j.
04KAN,04KAN,Kanalbauerin/Kanalbauer,207,3j.
04KER,04KER,Keramiker/Keramikerin,207,3j.
04MAU,04MAU,Maurerin/Maurer,207,3j.
04ROH,04ROH,Rohrleitungsbauerin/Rohrleitungsbauer,207,3j.
04SOR,04SOR,Schornsteinfegerin/Schornsteinfeger,207,3j.
04STB,04STB,Straßenbauerin/Straßenbauer,207,3j.
04STW,04STW,Straßenwärterin/Straßenwärter,207,3j.
04STU,04STU,Stukkateurin/Stukkateur,207,3j.
04TI1,04TI1,Tiefbaufacharbeiterin/Tiefbaufacharbeiter Schwerpunkt Brunnen- und Spezialtiefbauarbeiten,207,2j.
04TI2,04TI2,Tiefbaufacharbeiterin/Tiefbaufacharbeiter Schwerpunkt Gleisbauarbeiten,207,2j.
04TI3,04TI3,Tiefbaufacharbeiterin/Tiefbaufacharbeiter Schwerpunkt Kanalbauarbeiten,207,2j.
04TI4,04TI4,Tiefbaufacharbeiterin/Tiefbaufacharbeiter Schwerpunkt Rohrleitungsbauarbeiten,207,2j.
04TI5,04TI5,Tiefbaufacharbeiterin/Tiefbaufacharbeiter Schwerpunkt Straßenbauarbeiten,207,2j.
04TRO,04TRO,Trockenbaumonteurin/Trockenbaumonteur,207,3j.
04VMT,04VMT,Vermessungstechnikerin/Vermessungstechniker,207,3j.
04WKS,04WKS,"Wärme-, Kälte- und Schallschutzisoliererin/Wärme-, Kälte- und Schallschutzisolierer",207,3j.
04ZIM,04ZIM,Zimmerin/Zimmerer,207,3j.
05BO1,05BO1,"Bootsbauerin/Bootsbauer Fachrichtung Neu-, Aus- und Umbau",209,"3,5j."
05BO2,05BO2,Bootsbauerin/Bootsbauer Fachrichtung Technik,209,"3,5j."
05FMU,05FMU,"Fachkraft für Möbel-, Küchen- und Umzugsservice",209,3j.
05HBA,05HBA,Fachkraft für Holz- und Bautenschutzarbeiten (2-jährig),209,2j.
05HBS,05HBS,Holz- und Bautenschützerin/Holz- und Bautenschützer,209,3j.
05HBM,05HBM,Holzbearbeitungsmechanikerin/Holzbearbeitungsmechaniker ,209,3j.
05HBI,05HBI,Holzbildhauerin/Holzbildhauer,209,3j.
05HM1,05HM1,"Holzmechanikerin/Holzmechaniker FR Herstellen von Bauelementen, Holzpackmitteln und Rahmen",209,3j.
05HM2,05HM2,Holzmechanikerin/Holzmechaniker FR Herstellen von Möbeln und Innenausbauteilen,209,3j.
05HM3,05HM3,Holzmechanikerin/Holzmechaniker FR Montieren von Innenausbauten und Bauelementen,209,3j.
05TIS,05TIS,Tischlerin/Tischler,209,3j.
06ÄNS,06ÄNS,Änderungsschneiderin/Änderungsschneider,211,2j.
06KÜR,06KÜR,Kürschnerin/Kürschner,211,3j.
06MAN,06MAN,Maschinen- und Anlagenführerin/Maschinen- und Anlagenführer Schwerpunkt Textiltechnik ,211,2j.
06MAS,06MAS,Maßschneiderin/Maßschneider Schwerpunkt Damen,211,3j.
06MAH,06MAH,Maßschneiderin/Maßschneider Schwerpunkt Herren,211,3j.
